sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
馬公,澎湖縣,31,,良好,0.3,0.16,39.2,33.9,23,7,5.1,5.7,0.6,1,200,"2023/07/26 20:00:00",0.1,9.7,20,0,119.566158,23.569031,78
關山,臺東縣,15,,良好,0.4,0.07,18.1,16.9,1,1,0.7,1.2,0.4,0.5,285,"2023/07/26 20:00:00",0,0.2,3,0,121.161933,23.045083,80
麥寮,雲林縣,94,細懸浮微粒,普通,1.8,0.41,34.6,49.2,42,28,12.2,13.4,1.1,2.1,174,"2023/07/26 20:00:00",0.3,32.8,53,2,120.251825,23.753506,83
富貴角,新北市,24,,良好,0,0.04,21.6,20.7,18,10,0.3,0.4,0,13,97,"2023/07/26 20:00:00",0,7.5,21,0,121.53656894,25.29681695,84
大城,彰化縣,74,細懸浮微粒,普通,1.1,0.31,35.7,54.5,47,30,6.5,8.2,1.7,2.4,210,"2023/07/26 20:00:00",0.1,25,45,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,72,細懸浮微粒,普通,3.6,0.33,12.3,33,27,18,12,13,0.9,1.2,124,"2023/07/26 20:00:00",0.3,23.9,40,3,120.56373,23.96117,201
高雄(湖內),高雄市,28,,良好,0.9,0.38,7.6,12.5,22,7,16.6,18.3,1.7,0.4,266,"2023/07/26 20:00:00",0.2,8.6,19,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,35,,良好,0.2,0.24,5,15,12,3,12.8,15.1,2.2,1.4,132,"2023/07/26 20:00:00",0.2,10.8,21,0,120.24583056,23.17904722,203
桃園(三民),桃園市,16,,良好,0.4,0.17,17.5,17.4,9,1,2.5,3.8,1.2,2.6,83,"2023/07/26 20:00:00",0.1,2.1,10,0,121.31788148,25.00132736,310
新北(樹林),新北市,15,,良好,0.8,0.17,6.8,3.8,8,0,6.8,13.3,6.5,0.4,130,"2023/07/26 20:00:00",0.2,4.6,8,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,19,,良好,0,0.05,21.6,20.2,4,3,0.2,0.4,0.2,1.8,83,"2023/07/26 20:00:00",0,2.4,7,0,120.651472,22.260899,313
